"id_observacion","id_prueba","comentarios"
"1","1","prueba en clase. pericia 10"
"2","2","prueba en clase. pericia 10"
"3","3","prueba en casa. destreza 8. Destacar la opción de ayuda en el menú. no se dio cuenta de que existía esa opción y prefirió explorar."
"4","4","entreno. dstreza 6. destacar sccion ayuda"
"5","5","prueba en casa. pericia 3. El usuario no entra en la seccion de ayuda y prefiere buscar la info pero se pierde. Alguna info sobre la localidad es dificil de encontrar porque no se relaciona con el nombre en el menu (meteo). Destacar la seccion de ayuda para incitar a los usuarios a usarla."
"6","6","prueba en casa. destreza 7. Usó la ayuda (fue mas facil de encontrar). Tarjetas en la tablet se podrian ver mejor, al dar la vuelta a la tablet, la pagina no se ajusta automaticamente."
"7","7","prueba en entrenamiento. destreza 6. Elementos del menu pequeños y cuesta darle con el dedo. letra aun es pequeña en moviles."
"8","8","prueba en entrenamiento. destreza 5. "
